年月日,降水量の合計(mm),平年降水量の合計(mm),日照時間(時間),平年日照時間(時間),降雪量合計(cm),平年降雪量合計(cm),平均気温(℃),平年平均気温(℃),平均風速(m/s),平年平均風速(m/s),地点名,地域,地点id
2019/9/15,5.0,3.8,0.1,4.1,0,0,16.6,14.6,0.9,,陸別,十勝,1
2019/9/16,0.5,3.6,0.1,4.1,0,0,17.9,14.4,0.9,,陸別,十勝,1
2019/9/17,0.0,3.5,7.2,4.1,0,0,16.9,14.1,2.3,,陸別,十勝,1
2019/9/18,4.0,3.5,0.3,4.1,0,0,13.1,13.9,1.4,,陸別,十勝,1
2019/9/19,1.0,3.5,9.2,4.1,0,0,10.7,13.6,1.9,,陸別,十勝,1
2019/9/20,0.0,3.5,4.4,4.1,0,0,9.5,13.4,1.6,,陸別,十勝,1
2019/9/21,0.0,3.5,9.4,4.1,0,0,10.7,13.2,1.2,,陸別,十勝,1
2019/9/22,0.0,3.6,2.5,4.2,0,0,13.6,12.9,1.4,,陸別,十勝,1
2019/9/23,46.0,3.6,0.0,4.2,0,0,11.5,12.7,1.1,,陸別,十勝,1
2019/9/24,0.0,3.7,7.0,4.2,0,0,14.9,12.5,1.5,,陸別,十勝,1
2019/9/25,0.0,3.7,9.0,4.2,0,0,8.8,12.3,1.7,,陸別,十勝,1
2019/9/26,0.0,3.7,7.0,4.3,0,0,7.9,12.1,1.1,,陸別,十勝,1
2019/9/27,0.0,3.7,7.3,4.3,0,0,11.0,11.9,1.2,,陸別,十勝,1
2019/9/28,0.0,3.7,8.6,4.3,0,0,12.4,11.6,1.2,,陸別,十勝,1
2019/9/29,0.0,3.7,4.3,4.3,0,0,12.6,11.4,1.3,,陸別,十勝,1
2019/9/30,0.0,3.6,6.8,4.4,0,0,14.9,11.2,1.5,,陸別,十勝,1
2019/10/1,0.0,3.5,9.1,4.4,0,0,15.3,11.0,1.0,,陸別,十勝,1
2019/10/2,0.0,3.4,6.8,4.4,0,0,16.6,10.8,1.6,,陸別,十勝,1
2019/10/3,0.0,3.3,2.3,4.4,0,0,16.8,10.6,1.7,,陸別,十勝,1
2019/10/4,51.0,3.2,0.0,4.4,0,0,15.1,10.4,1.2,,陸別,十勝,1
2019/10/5,9.5,3.1,1.7,4.4,0,0,11.1,10.1,2.7,,陸別,十勝,1
2019/10/6,0.0,3.0,6.1,4.4,0,0,8.4,9.9,1.1,,陸別,十勝,1
2019/10/7,0.0,2.9,2.1,4.4,0,0,9.0,9.7,1.6,,陸別,十勝,1
2019/10/8,6.0,2.8,0.0,4.5,0,0,13.0,9.5,1.4,,陸別,十勝,1
2019/10/9,1.5,2.7,7.0,4.5,0,0,10.5,9.3,2.1,,陸別,十勝,1
2019/10/10,0.0,2.6,8.7,4.5,0,0,9.0,9.1,1.1,,陸別,十勝,1
2019/10/11,0.0,2.5,0.5,4.5,///,0,12.8,8.9,1.2,,陸別,十勝,1
2019/10/12,1.0,2.4,0.0,4.5,0,0,11.0,8.6,2.2,,陸別,十勝,1
2019/10/13,37.0,2.3,1.6,4.6,0,0,4.8,8.4,2.8,,陸別,十勝,1
2019/10/14,1.0,2.3,5.3,4.6,0,0,5.3,8.2,1.5,,陸別,十勝,1
2019/10/15,0.0,2.2,8.3,4.6,0,0,5.1,7.9,1.7,,陸別,十勝,1